inditas_idopont,algoritmus,palya_nev,scenario,fazis,tervezesi_ido (sec),tervezett_ut_hossza (meter),memoria (MB),cpu_kihasznaltsag (%),szamitasok_szama (db)
2026-02-26 19:20:06,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,2.319241664000401,60.00089235911036,60.87109375,104.2,1801
2026-02-26 19:24:52,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,2.4476796250000916,0.0,59.97265625,104.4,1727
2026-02-26 19:25:10,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,2.961646888999894,0.0,59.67578125,105.0,2008
2026-02-26 19:25:30,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,2.5306147070004954,0.0,59.70703125,101.1,1917
2026-02-26 19:26:39,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,2.830524169000455,0.0,59.62109375,99.9,1959
2026-02-26 19:28:38,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,2.8961280909998095,0.0,59.79296875,102.4,2312
2026-02-26 19:28:51,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,2.660620654000013,58.95644565881637,60.19921875,104.9,1991
2026-02-26 19:33:57,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,3.001935620999575,58.16584874668238,60.81640625,103.8,2036
2026-02-26 19:38:20,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,3.0620434210004532,57.85410506083138,60.578125,103.7,2075
2026-02-26 19:42:32,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,2.4047477070007517,59.408207778843234,60.390625,105.2,1860
2026-02-26 19:47:00,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,2.6267414930007362,58.60646618177876,60.171875,104.3,1970
2026-02-26 19:52:49,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,1.8674413859998822,0.0,60.1640625,103.7,1671
2026-02-26 19:53:03,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,2.324535781999657,57.0854182730074,59.76953125,104.5,1793
2026-02-26 19:57:27,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,2.854988492999837,61.394948797381126,60.88671875,103.4,2064
2026-03-22 18:43:13,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_1.csv_static,static,statikus,0.4209700999999768,45.76136515640293,59.64453125,100.7,721
2026-03-22 18:46:56,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_2.csv_static,static,statikus,0.04477269999915734,35.49842428918828,59.4765625,97.7,202
2026-03-22 18:49:42,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,3.248434097999052,0.0,59.01171875,101.9,2140
2026-03-22 18:50:10,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,3.1500157749997015,0.0,59.63671875,104.5,2099
2026-03-22 18:51:14,RRT_star,/home/ajr/diplomamunka_ws/install/simulation_resources_pkg/share/simulation_resources_pkg/maps/occupancy_grid_3.csv_static,static,statikus,1.8242694869986735,59.8225216892325,60.2578125,103.1,1907
