futas_azonosito,lepesek_szama,befejezes_oka,mppi_vx_max,mppi_wz_max,mppi_vx_std,mppi_wz_std,mppi_cost_weight,celtol_valo_tavolsag (m),legkozelebbi_akadaly_tavolsag,ossz_haladas,sebessegvaltozas_energia,kapott_pontszam,modell_fajl
run_20260301_122041,1254,goal,0.4133,1.6792,0.1327,0.3307,4.2393,0.5819,6.0000,27.4197,4.7926,902.0197,./ppo_runs/grid_2/run_20260301_122041/latest_2026-03-01_122041.pth
run_20260301_122329,1246,goal,0.4065,1.7447,0.1303,0.3262,4.2328,0.5864,6.0000,27.4150,5.2110,902.8150,./ppo_runs/grid_2/run_20260301_122329/latest_2026-03-01_122329.pth
run_20260301_122611,1280,goal,0.4081,1.7116,0.1284,0.3233,4.3832,0.5786,6.0000,27.4229,5.2612,899.4229,./ppo_runs/grid_2/run_20260301_122611/latest_2026-03-01_122611.pth
run_20260301_122943,1271,goal,0.4050,1.7236,0.1304,0.3215,4.2893,0.5816,6.0000,27.4199,5.2528,900.3199,./ppo_runs/grid_2/run_20260301_122943/latest_2026-03-01_122943.pth
run_20260301_123217,1278,goal,0.4110,1.7320,0.1281,0.3277,4.3012,0.5921,6.0000,27.4094,5.2929,899.6094,./ppo_runs/grid_2/run_20260301_123217/latest_2026-03-01_123217.pth
run_20260301_123541,1291,goal,0.4126,1.7351,0.1301,0.3257,4.5295,0.5858,6.0000,27.4156,5.3669,898.3156,./ppo_runs/grid_2/run_20260301_123541/latest_2026-03-01_123541.pth
run_20260301_124020,1296,goal,0.4149,1.7354,0.1291,0.3241,4.3082,0.5825,6.0000,27.4190,5.2483,897.8190,./ppo_runs/grid_2/run_20260301_124020/latest_2026-03-01_124020.pth
run_20260301_124353,1253,goal,0.4084,1.7198,0.1299,0.3276,4.4852,0.5915,6.0000,27.4100,5.2914,902.1100,./ppo_runs/grid_2/run_20260301_124353/ppo_ep_1.pth
run_20260301_124624,1284,goal,0.4168,1.7085,0.1316,0.3192,4.4300,0.5993,6.0000,27.4021,5.2565,899.0021,./ppo_runs/grid_2/run_20260301_124624/latest_2026-03-01_124624.pth
run_20260301_181509,1277,goal,0.4114,1.7418,0.1312,0.3235,4.3734,0.5820,6.0000,27.4195,5.2838,899.7195,./ppo_runs/grid_2/run_20260301_181509/ppo_ep_1.pth
run_20260302_101105,1172,goal,0.4175,1.7399,0.1312,0.3219,4.3941,0.5828,6.0000,27.4187,5.0956,910.2187,./ppo_runs/grid_2/run_20260302_101105/ppo_ep_1.pth
run_20260302_101329,1187,goal,0.4156,1.7337,0.1272,0.3194,4.4564,0.5883,6.0000,27.4130,4.9763,908.7130,./ppo_runs/grid_2/run_20260302_101329/ppo_ep_1.pth
run_20260302_102035,1243,goal,0.4159,1.7722,0.1249,0.3203,4.4039,0.5985,6.0000,27.4026,4.9402,903.1026,./ppo_runs/grid_2/run_20260302_102035/latest_2026-03-02_102035.pth
run_20260302_102256,1182,goal,0.4135,1.7468,0.1283,0.3251,4.4532,0.5964,6.0000,27.4051,4.9425,909.2051,./ppo_runs/grid_2/run_20260302_102256/ppo_ep_1.pth
