futas_azonosito,lepesek_szama,befejezes_oka,mppi_vx_max,mppi_wz_max,mppi_vx_std,mppi_wz_std,mppi_cost_weight,celtol_valo_tavolsag (m),legkozelebbi_akadaly_tavolsag,ossz_haladas,sebessegvaltozas_energia,kapott_pontszam,modell_fajl
run_20260303_141952,1179,goal,0.4179,1.7195,0.1287,0.3194,4.3696,0.5975,6.0000,27.4037,5.0443,909.5037,./ppo_runs/grid_2/run_20260303_141952/ppo_ep_1.pth
run_20260303_142425,1196,goal,0.4237,1.7154,0.1281,0.3211,4.5107,0.5831,6.0000,27.4184,5.0677,907.8184,./ppo_runs/grid_2/run_20260303_142425/ppo_ep_1.pth
run_20260322_192342,1257,goal,0.4138,1.7113,0.1289,0.3177,4.3940,0.5861,6.0000,27.4155,4.5943,901.7155,./ppo_runs/grid_2/run_20260322_192342/latest_2026-03-22_192342.pth
run_20260324_125412,1254,goal,0.4152,1.7270,0.1265,0.3187,4.4526,0.5805,6.0000,27.4005,5.4219,902.0005,./ppo_runs/grid_2/run_20260324_125412/ppo_ep_1.pth
run_20260324_125659,1219,goal,0.4205,1.7207,0.1278,0.3211,4.4592,0.5880,6.0000,27.3331,6.3392,905.4331,./ppo_runs/grid_2/run_20260324_125659/ppo_ep_1.pth
run_20260324_125923,1248,goal,0.4108,1.7374,0.1278,0.3179,4.4744,0.5774,6.0000,27.4239,6.0135,902.6239,./ppo_runs/grid_2/run_20260324_125923/ppo_ep_1.pth
run_20260324_130152,1248,goal,0.4167,1.7256,0.1286,0.3267,4.3279,0.5783,6.0000,27.4208,6.2503,902.6208,./ppo_runs/grid_2/run_20260324_130152/latest_2026-03-24_130152.pth
run_20260324_130528,1228,goal,0.4226,1.7286,0.1284,0.3192,4.4729,0.5832,6.0000,27.4078,6.1666,904.6078,./ppo_runs/grid_2/run_20260324_130528/ppo_ep_1.pth
run_20260324_130754,1209,goal,0.4136,1.7009,0.1303,0.3255,4.4462,0.5940,6.0000,27.4071,6.2135,906.5071,./ppo_runs/grid_2/run_20260324_130754/ppo_ep_1.pth
run_20260324_131027,1257,goal,0.4162,1.6924,0.1267,0.3187,4.3313,0.5887,6.0000,27.4125,5.9964,901.7125,./ppo_runs/grid_2/run_20260324_131027/latest_2026-03-24_131027.pth
run_20260324_131250,1266,goal,0.4221,1.7294,0.1266,0.3206,4.5774,0.5897,6.0000,27.4114,5.9969,900.8114,./ppo_runs/grid_2/run_20260324_131250/ppo_ep_1.pth
run_20260324_131716,1265,goal,0.4149,1.7172,0.1239,0.3204,4.3712,0.5809,6.0000,27.3982,6.2248,900.8982,./ppo_runs/grid_2/run_20260324_131716/ppo_ep_1.pth
run_20260324_132029,1216,goal,0.4189,1.7318,0.1288,0.3236,4.4321,0.5778,6.0000,27.4233,6.0577,905.8233,./ppo_runs/grid_2/run_20260324_132029/ppo_ep_1.pth
run_20260324_132650,1255,goal,0.4151,1.7384,0.1263,0.3209,4.4932,0.5939,6.0000,27.4074,6.1720,901.9074,./ppo_runs/grid_2/run_20260324_132650/ppo_ep_1.pth
run_20260324_132915,1252,goal,0.4127,1.7441,0.1266,0.3222,4.4767,0.5826,6.0000,27.4190,6.0763,902.2190,./ppo_runs/grid_2/run_20260324_132915/ppo_ep_1.pth
run_20260324_133144,1227,goal,0.4131,1.7262,0.1294,0.3220,4.5449,0.5892,6.0000,27.3555,6.4734,904.6555,./ppo_runs/grid_2/run_20260324_133144/ppo_ep_1.pth
run_20260324_133613,1229,goal,0.4119,1.7185,0.1283,0.3258,4.3819,0.5821,6.0000,27.4195,6.0890,904.5195,./ppo_runs/grid_2/run_20260324_133613/ppo_ep_1.pth
run_20260324_135159,1233,goal,0.4097,1.7161,0.1277,0.3187,4.5100,0.5878,6.0000,27.3527,6.3414,904.0527,./ppo_runs/grid_2/run_20260324_135159/ppo_ep_1.pth
run_20260324_135419,1252,goal,0.4139,1.7521,0.1259,0.3177,4.4956,0.6000,6.0000,27.3435,6.2411,902.1435,./ppo_runs/grid_2/run_20260324_135419/ppo_ep_1.pth
