futas_azonosito,lepesek_szama,befejezes_oka,mppi_vx_max,mppi_wz_max,mppi_vx_std,mppi_wz_std,mppi_cost_weight,celtol_valo_tavolsag (m),legkozelebbi_akadaly_tavolsag,ossz_haladas,sebessegvaltozas_energia,kapott_pontszam,modell_fajl
run_20260301_124922,2198,goal,0.4365,1.7069,0.1272,0.3252,3.9094,0.5936,1.8602,27.4078,10.2771,807.6078,./ppo_runs/grid_3/run_20260301_124922/latest_2026-03-01_124922.pth
run_20260301_125338,1959,collision,0.4385,1.7501,0.1264,0.3215,3.9677,7.0867,0.1736,20.9148,8.5937,-1174.9852,./ppo_runs/grid_3/run_20260301_125338/latest_2026-03-01_125338.pth
run_20260301_125735,1917,collision,0.4333,1.7234,0.1281,0.3217,3.8247,7.0777,0.1661,20.9238,8.5926,-1170.7762,./ppo_runs/grid_3/run_20260301_125735/ppo_ep_1.pth
run_20260301_130133,2166,goal,0.4364,1.7081,0.1268,0.3158,3.8292,0.5984,1.8948,27.4031,10.0082,810.8031,./ppo_runs/grid_3/run_20260301_130133/latest_2026-03-01_130133.pth
run_20260301_135228,2167,goal,0.4360,1.7124,0.1289,0.3207,3.7159,0.5955,1.6693,27.4058,10.3401,810.7058,./ppo_runs/grid_3/run_20260301_135228/latest_2026-03-01_135228.pth
run_20260301_165350,1968,collision,0.4371,1.7245,0.1256,0.3211,3.9198,7.4773,0.1760,20.5074,8.4835,-1176.2926,./ppo_runs/grid_3/run_20260301_165350/ppo_ep_1.pth
run_20260301_165737,1988,collision,0.4347,1.7260,0.1253,0.3129,3.9360,7.0610,0.1773,20.9405,8.3643,-1177.8595,./ppo_runs/grid_3/run_20260301_165737/latest_2026-03-01_165737.pth
run_20260301_172607,2199,goal,0.4344,1.7098,0.1283,0.3181,3.8467,0.5798,1.7269,27.4217,10.1555,807.5217,./ppo_runs/grid_3/run_20260301_172607/latest_2026-03-01_172607.pth
run_20260322_192651,1921,collision,0.4297,1.7212,0.1278,0.3190,3.7519,7.4461,0.1724,20.5555,8.4051,-1171.5445,./ppo_runs/grid_3/run_20260322_192651/latest_2026-03-22_192651.pth
